ExtractionMethod,TreatmentMethod,Rep,GerminationWeek4(popped),PercentGerminationWeek4,invert
Water,Water,1,12,60,0.016666667
Water,Water,2,6,30,0.033333333
Water,Water,3,8,40,0.025
Water,GA3,1,13,65,0.015384615
Water,GA3,2,13,65,0.015384615
Water,GA3,3,12,60,0.016666667
Water,Bleach,1,9,45,0.022222222
Water,Bleach,2,10,50,0.02
Water,Bleach,3,9,45,0.022222222
Yeast,Water,1,5,25,0.04
Yeast,Water,2,6,30,0.033333333
Yeast,Water,3,4,20,0.05
Yeast,GA3,1,14,70,0.014285714
Yeast,GA3,2,13,65,0.015384615
Yeast,GA3,3,18,90,0.011111111
Yeast,Bleach,1,7,35,0.028571429
Yeast,Bleach,2,15,75,0.013333333
Yeast,Bleach,3,13,65,0.015384615
HCL,Water,1,7,35,0.028571429
HCL,Water,2,8,40,0.025
HCL,Water,3,8,40,0.025
HCL,GA3,1,9,45,0.022222222
HCL,GA3,2,8,40,0.025
HCL,GA3,3,11,55,0.018181818
HCL,Bleach,1,6,30,0.033333333
HCL,Bleach,2,9,45,0.022222222
HCL,Bleach,3,8,40,0.025