ExtractionMethod,TreatmentMethod,Rep,GerminationWeek4(Over1cm),PercentGerminationWeek4
Water,Water,1,4,20
Water,Water,2,3,15
Water,Water,3,2,10
Water,GA3,1,14,70
Water,GA3,2,12,60
Water,GA3,3,11,55
Water,Bleach,1,2,10
Water,Bleach,2,9,45
Water,Bleach,3,1,5
Yeast,Water,1,0,0
Yeast,Water,2,4,20
Yeast,Water,3,1,5
Yeast,GA3,1,8,40
Yeast,GA3,2,13,65
Yeast,GA3,3,10,50
Yeast,Bleach,1,7,35
Yeast,Bleach,2,3,15
Yeast,Bleach,3,2,10
HCL,Water,1,5,25
HCL,Water,2,9,45
HCL,Water,3,5,25
HCL,GA3,1,11,55
HCL,GA3,2,6,30
HCL,GA3,3,12,60
HCL,Bleach,1,4,20
HCL,Bleach,2,3,15
HCL,Bleach,3,6,30