ExtractionMethod,TreatmentMethod,CombinedMethods,Rep,onewk_GerminationWeek4,onewk_PercentGerminationWeek4,onewk_percentageinversion,onemo_GerminationWeek4,onemo_PercentageGerminationWeek4,onemo_percentageinversion
Water,Water,WaterWater,1,4,20,0.05,12,60,0.016666667
Water,Water,WaterWater,2,3,15,0.066666667,6,30,0.033333333
Water,Water,WaterWater,3,2,10,0.1,8,40,0.025
Water,GA3,WaterGA3,1,14,70,0.014285714,13,65,0.015384615
Water,GA3,WaterGA3,2,12,60,0.016666667,13,65,0.015384615
Water,GA3,WaterGA3,3,11,55,0.018181818,12,60,0.016666667
Water,Bleach,WaterBleach,1,2,10,0.1,9,45,0.022222222
Water,Bleach,WaterBleach,2,9,45,0.022222222,10,50,0.02
Water,Bleach,WaterBleach,3,1,5,0.2,9,45,0.022222222
Yeast,Water,YeastWater,1,0,1,1,5,25,0.04
Yeast,Water,YeastWater,2,4,20,0.05,6,30,0.033333333
Yeast,Water,YeastWater,3,1,5,0.2,4,20,0.05
Yeast,GA3,YeastGA3,1,8,40,0.025,14,70,0.014285714
Yeast,GA3,YeastGA3,2,13,65,0.015384615,13,65,0.015384615
Yeast,GA3,YeastGA3,3,10,50,0.02,18,90,0.011111111
Yeast,Bleach,YeastBleach,1,7,35,0.028571429,7,35,0.028571429
Yeast,Bleach,YeastBleach,2,3,15,0.066666667,15,75,0.013333333
Yeast,Bleach,YeastBleach,3,2,10,0.1,13,65,0.015384615
HCL,Water,HCLWater,1,5,25,0.04,7,35,0.028571429
HCL,Water,HCLWater,2,9,45,0.022222222,8,40,0.025
HCL,Water,HCLWater,3,5,25,0.04,8,40,0.025
HCL,GA3,HCLGA3,1,11,55,0.018181818,9,45,0.022222222
HCL,GA3,HCLGA3,2,6,30,0.033333333,8,40,0.025
HCL,GA3,HCLGA3,3,12,60,0.016666667,11,55,0.018181818
HCL,Bleach,HCLBleach,1,4,20,0.05,6,30,0.033333333
HCL,Bleach,HCLBleach,2,3,15,0.066666667,9,45,0.022222222
HCL,Bleach,HCLBleach,3,6,30,0.033333333,8,40,0.025